Genres,Source,Type,Episodes,Score,Favorites,Decimal,Popularity
"Comedy, Fantasy, Ecchi",Light novel,TV,12,5.66,20,261,2460
Comedy,Original,TV,13,5.62,27,1,4141
"Comedy, Sci-Fi, Romance, Fantasy, Ecchi",Original,TV,12,6.87,164,295,1601
Romance,Game,TV,4,5.72,3,2,3880
"Comedy, Sci-Fi, Hentai, Action",Original,OVA,2,6.72,66,2089,2820
"Fantasy, Otro",Manga,TV,24,7.7,68,4100,3338
Hentai,Manga,OVA,2,7.04,14,2048,5651
"Sci-Fi, Romance, Fantasy, Shoujo, Supernatural",Visual novel,OVA,2,5.58,30,678,2980
"Romance, Shounen, Action",Manga,OVA,1,6.9,14,26,2973
"Comedy, Romance, Fantasy, Shoujo",Manga,TV,25,6.71,253,519,1561
"Gore, Action, Supernatural",Manga,OVA,1,5.97,1,16520,9179
"Comedy, Romance",4-koma manga,TV,13,7.96,386,3,516
"Historical, Romance, Shoujo",Manga,TV,42,7.37,7,1538,6820
"Comedy, Fantasy, Shounen, Action",Manga,Special,1,6.84,269,29,1360
"Comedy, Fantasy, Shounen",Manga,Special,2,6.91,30,21,2783
"Comedy, Romance",Original,ONA,24,5.91,28,3,2833
"Comedy, Romance, Fantasy",Original,TV,12,7.05,462,7,1415
Comedy,Original,Special,2,6.57,3,1,5184
"Comedy, Romance",Web manga,TV,13,7.55,213,3,1020
"Comedy, Sci-Fi, Romance, Fantasy, Shounen, Action",Light novel,TV,26,7.61,387,63,1471
"Comedy, Fantasy, Shoujo",Original,OVA,1,6.06,0,517,11339
"Comedy, Sci-Fi",Other,TV,13,6.51,40,33,2200
"Comedy, Sci-Fi, Shounen",Manga,Special,2,6.36,0,49,9968
"Shoujo, Music, Gore, Supernatural, Otro",Manga,Music,1,5.0,1,29312,8760
"Sports, Romance, Action",Manga,TV,26,6.07,1,4106,9958
Comedy,Original,TV,243,5.7,0,1,10937
"Comedy, Romance, Shounen, Ecchi",Manga,TV,12,6.97,1153,275,224
"Hentai, Ecchi",Visual novel,OVA,3,7.53,326,2304,2596
"Comedy, Sci-Fi, Shounen",Manga,Special,1,6.03,0,49,9732
Comedy,Original,ONA,1,5.36,0,1,11317
Hentai,Visual novel,OVA,5,6.3,5,2048,5705
"Comedy, Sports, Romance, Shounen, Action",Manga,TV,178,8.01,2833,4123,806
"Sci-Fi, Romance, Shounen",Manga,OVA,2,7.22,131,50,2150
"Sci-Fi, Romance, Shoujo, Shounen, Action",Manga,OVA,5,6.09,0,570,7736
Sports,Manga,OVA,1,5.55,0,4096,9795
"Romance, Music",Game,Music,1,6.47,1,8194,9408
"Mistery, Historical, Romance, Action, Otro",Manga,Movie,1,7.89,34,37898,3781
Historical,Other,Movie,1,5.75,1,1024,11021
"Comedy, Romance, Shounen",4-koma manga,TV,13,7.51,569,19,440
"Comedy, Romance, Fantasy, Shounen, Action",Manga,TV,24,8.07,102,31,4412
"Sci-Fi, Romance, Action",Novel,TV,22,7.56,65,42,3012
"Comedy, Romance, Fantasy, Supernatural",Light novel,TV,13,7.98,6925,135,51
"Comedy, Romance, Fantasy, Ecchi",Visual novel,TV,13,7.33,52,263,2470
Sci-Fi,Manga,Special,9,5.95,0,32,10247
"Comedy, Sci-Fi, Shounen, Action",Original,OVA,1,6.88,15,57,3333
"Fantasy, Shounen",Manga,Special,1,7.49,124,20,1572
"Mistery, Comedy, Sci-Fi",Manga,OVA,4,7.03,43,32801,3722
"Sci-Fi, Shounen, Action, Otro",Original,TV,25,8.21,14200,4152,61
"Comedy, Sports, Romance, Shounen",Manga,TV,12,6.71,168,4115,1715
"Historical, Romance, Shounen, Thriller, Otro",Novel,TV,12,7.84,1083,70674,724
"Romance, Supernatural, Otro",Manga,TV,11,7.34,179,4226,1518
"Sci-Fi, Romance, Action",Original,Movie,1,7.3,7,42,4302
"Romance, Fantasy, Shoujo, Otro",Light novel,OVA,1,6.09,0,4614,9736
Romance,Original,Special,1,6.51,3,2,6529
"Comedy, Romance, Fantasy, Shounen, Action, Ecchi",Manga,OVA,3,6.66,7,287,5181
"Comedy, Romance, Fantasy, Shounen",Manga,ONA,5,6.9,3,23,6992
"Romance, Otro",Light novel,TV,12,7.93,2548,4098,354
"Historical, Romance, Fantasy, Shounen, Action",Novel,ONA,26,7.68,31,1054,7272
Sci-Fi,Original,Movie,1,4.85,1,32,8951
"Comedy, Romance, Shounen",Manga,TV,13,7.82,346,19,855
"Romance, Fantasy",Light novel,Movie,1,7.85,42,6,1922
"Shounen, Otro",Manga,OVA,2,7.1,4,4112,8196
"Comedy, Romance, Otro",Manga,Special,1,6.01,0,4099,7663
"Romance, Ecchi",Visual novel,TV,12,6.02,2420,258,145
"Fantasy, Action, Supernatural",Game,TV,51,5.91,2,140,7352
"Sports, Romance, Shounen, Action",Manga,TV,24,8.24,588,4122,1261
"Comedy, Historical",Web manga,ONA,52,7.68,5040,1025,464
"Sci-Fi, Action",Game,ONA,4,5.13,1,40,8342
"Romance, Supernatural",Visual novel,TV,13,6.08,5,130,3890
Comedy,Other,ONA,1,4.42,0,1,12048
"Comedy, Fantasy",Manga,Movie,1,5.8,0,5,12763
"Sci-Fi, Fantasy, Action, Ecchi",Original,Special,1,7.0,10,300,4813
"Sci-Fi, Romance",Manga,Movie,1,6.68,2,34,7490
"Historical, Romance, Fantasy, Otro",Novel,TV,26,8.09,114,5126,3959
"Sci-Fi, Action",Original,ONA,1,7.29,3,40,5187
"Comedy, Sci-Fi, Romance, Fantasy, Action",Manga,Movie,1,7.87,116,47,4080
"Comedy, Romance, Otro",Original,ONA,4,4.54,0,4099,12576
"Comedy, Romance, Otro",Manga,Special,4,6.65,8,4099,3504
"Comedy, Romance",Original,Movie,1,7.87,6,3,5058
"Comedy, Fantasy, Shounen, Action",Manga,Movie,1,7.22,239,29,1392
"Sci-Fi, Otro",Original,TV,23,7.99,8663,4128,161
"Comedy, Shounen, Otro",Card game,Movie,1,7.16,4,4113,6499
"Comedy, Romance, Supernatural, Otro",Manga,OVA,2,8.15,94,4227,1592
"Historical, Romance, Otro",Manga,TV,12,8.87,1395,5122,1107
"Comedy, Sci-Fi, Fantasy, Shounen",Original,TV,12,6.71,12,53,4384
"Romance, Hentai, Supernatural",Visual novel,OVA,2,6.51,38,2178,5194
"Fantasy, Shounen, Action, Supernatural",Manga,Movie,1,7.88,495,156,796
"Fantasy, Shounen, Action",Manga,Movie,1,7.57,165,28,903
Fantasy,Light novel,TV,26,7.25,100,4,2055
"Comedy, Fantasy, Shounen, Action, Supernatural",Manga,TV,12,7.48,3587,157,213
Ecchi,Web manga,TV,0,5.26,28,256,4008
"Comedy, Sci-Fi, Romance, Fantasy, Shounen, Action, Supernatural",Manga,TV,26,6.71,27,191,3310
"Sci-Fi, Romance, Shounen, Action",Original,Movie,1,8.18,87,58,2181
"Romance, Fantasy, Action",Manga,OVA,3,7.64,138,14,3812
Romance,Original,ONA,1,5.77,1,2,5846
"Comedy, Supernatural, Ecchi",Manga,OVA,1,6.75,300,385,454
"Romance, Fantasy, Ecchi",Light novel,TV,12,6.43,116,262,972
"Romance, Otro",Manga,TV,11,7.45,124,4098,2199
"Fantasy, Shounen, Supernatural",Game,Movie,1,6.81,2,148,8170
"Fantasy, Shoujo, Action",Original,TV,48,7.2,203,524,3113
"Historical, Fantasy, Action",Card game,TV,13,6.8,287,1036,1130
"Fantasy, Shounen, Action",Manga,TV,148,9.11,64375,28,35
"Comedy, Romance, Shounen",Manga,TV,12,8.23,855,19,921
Comedy,Manga,OVA,3,6.35,5,1,8527
"Romance, Fantasy, Shoujo, Supernatural",Manga,TV,11,8.64,459,646,1038
"Comedy, Historical, Shounen, Action",Manga,Special,1,8.14,32,1049,3165
"Romance, Gore, Action, Otro",Game,TV,11,7.77,1926,20490,703
"Comedy, Romance, Fantasy, Shounen, Action",Manga,TV,12,7.53,1894,31,554
"Romance, Shounen, Action, Thriller",Visual novel,TV,26,8.11,3688,65562,373
"Comedy, Romance, Shounen, Ecchi",Manga,OVA,4,6.49,33,275,2440
Romance,Original,Special,1,5.8,0,2,5950
"Sports, Romance, Shounen, Action",Manga,OVA,1,7.64,56,4122,2806
"Comedy, Romance, Otro",Book,TV,26,6.52,1,4099,6254
"Fantasy, Action, Supernatural",Game,TV,12,7.11,1506,140,371
"Comedy, Historical, Romance, Action, Ecchi",Light novel,TV,12,6.95,257,1291,712
"Comedy, Romance",Manga,TV,12,7.38,289,3,1150
"Romance, Shoujo",Manga,TV,12,6.9,135,514,1249
"Sci-Fi, Otro",Novel,Movie,1,7.1,178,4128,1850
"Comedy, Romance",Manga,OVA,6,7.91,25,3,3729
Comedy,Original,Special,1,6.83,4,1,5042
Romance,4-koma manga,ONA,11,6.03,1,2,7324
"Sci-Fi, Fantasy",Original,TV,48,6.81,7,36,6266
"Comedy, Romance, Shounen",Manga,TV,11,8.33,448,19,967
Sports,Game,TV,0,7.2,85,4096,2049
"Comedy, Romance",Manga,TV,13,6.56,14,3,5159
"Sci-Fi, Romance, Action",Original,Special,1,7.48,23,42,3556
"Sports, Shounen",Manga,Movie,1,7.92,23,4112,4136
"Sci-Fi, Romance, Action",Light novel,Special,1,7.26,10,42,4498
"Mistery, Comedy, Fantasy, Shounen, Otro",Manga,Movie,1,7.61,11,36885,2404
Hentai,Manga,OVA,4,6.48,9,2048,5346
Romance,Other,Movie,1,6.69,180,2,1633
"Comedy, Sci-Fi, Fantasy, Shounen, Action",Light novel,TV,12,6.91,15,61,5291
