Genres,Source,Type,Episodes,Score,Favorites,Decimal,Popularity
"Comedy, Sci-Fi",Manga,TV,12,7.41,4,33,3799
"Historical, Fantasy, Action",Manga,TV,26,7.36,38,1036,3365
Fantasy,Original,Special,1,6.75,0,4,7378
"Fantasy, Supernatural",Original,Special,1,6.65,0,132,6733
"Sci-Fi, Shounen, Action",Manga,OVA,1,7.54,26,56,1692
"Comedy, Romance, Ecchi",Manga,TV,24,6.87,35,259,2975
"Romance, Fantasy, Otro",Novel,Special,1,6.11,0,4102,13153
Comedy,Manga,Special,4,6.42,2,1,6550
Comedy,Light novel,Special,5,7.46,4,1,4682
"Comedy, Romance, Shounen",Manga,OVA,2,7.74,36,19,3307
"Comedy, Music, Otro",Original,Music,1,4.48,0,12289,11051
"Sci-Fi, Romance, Shounen, Action",Manga,TV,10,7.01,14,58,5314
Hentai,Visual novel,OVA,4,7.58,167,2048,3148
"Comedy, Sci-Fi, Shounen, Action",Original,OVA,1,6.66,1,57,5611
"Romance, Shounen, Otro",Manga,TV,12,6.82,60,4114,1607
"Sci-Fi, Romance, Fantasy, Shoujo",Original,Movie,1,7.17,151,550,1634
"Sci-Fi, Romance, Fantasy",Manga,TV,113,7.96,260,38,2887
"Sci-Fi, Fantasy, Action",Original,TV,38,6.16,1,44,10615
"Comedy, Fantasy, Shoujo, Supernatural",Manga,Special,1,6.8,30,645,4102
"Comedy, Sports, Romance, Shounen",Manga,TV,0,5.66,3,4115,4587
"Comedy, Romance, Supernatural",Web manga,TV,12,7.52,166,131,1790
Otro,Original,OVA,5,4.75,0,4096,12439
"Comedy, Shounen",Original,Special,4,4.92,0,17,13237
"Fantasy, Shoujo",Original,TV,52,6.89,14,516,7146
Comedy,Original,ONA,1,5.72,2,1,5817
"Comedy, Fantasy, Action",Manga,TV,12,7.65,229,13,1424
"Comedy, Fantasy, Shounen, Action",Manga,OVA,1,7.45,182,29,1159
"Fantasy, Shounen, Action",Manga,TV,25,8.44,5561,28,140
Hentai,Visual novel,OVA,1,6.13,2,2048,6457
"Comedy, Shounen",Manga,TV,35,7.18,14,17,6537
"Historical, Romance, Shoujo, Action",Manga,TV,40,8.38,1660,1546,1664
"Comedy, Romance",Manga,TV,25,6.86,24,3,4791
"Comedy, Fantasy, Shounen, Action, Supernatural",Light novel,TV,12,7.24,475,157,1059
"Comedy, Shounen, Action",Manga,Movie,1,7.87,708,25,484
Comedy,Web manga,ONA,8,5.78,0,1,10195
"Historical, Fantasy, Shounen, Action",Novel,ONA,3,6.75,2,1052,10092
"Fantasy, Shoujo, Supernatural",Manga,TV,75,6.84,40,644,3723
"Sports, Romance, Action",Manga,TV,39,7.2,12,4106,7225
"Sci-Fi, Shounen",Original,TV,47,6.92,4,48,9413
"Sports, Romance, Shoujo, Action",Manga,TV,58,6.64,11,4618,5534
"Comedy, Romance, Shounen, Supernatural",Manga,TV,12,7.57,1412,147,465
"Historical, Romance, Action, Supernatural",Visual novel,OVA,2,7.61,21,1162,3754
"Comedy, Romance",Web manga,TV,11,7.98,393,3,737
"Sci-Fi, Fantasy, Shounen",Game,OVA,4,6.67,2,52,5725
"Comedy, Sci-Fi",Original,Special,1,7.63,182,33,860
"Romance, Fantasy, Supernatural",Original,Movie,1,8.92,15412,134,39
"Sports, Shounen, Action",Manga,TV,128,7.36,302,4120,1600
"Sci-Fi, Historical, Action",Other,TV,24,6.78,162,1064,1142
"Fantasy, Action",Game,TV,12,6.25,155,12,1265
"Mistery, Sci-Fi, Otro",Manga,Movie,1,7.62,30,36896,2005
"Comedy, Sci-Fi, Romance, Otro",Picture book,TV,44,4.13,0,4131,12440
"Comedy, Romance",4-koma manga,TV,12,7.73,663,3,1435
"Sports, Romance, Shounen, Action",Manga,Special,1,8.27,105,4122,1797
"Comedy, Romance, Fantasy",Original,TV,0,6.3,20,7,4818
"Comedy, Romance, Fantasy, Otro",Game,Movie,1,7.03,53,4103,1096
"Romance, Shoujo",Manga,OVA,4,6.39,4,514,6487
Hentai,Visual novel,OVA,2,6.15,29,2048,5064
"Comedy, Fantasy, Action, Otro",Game,Special,1,6.99,10,4109,2916
"Comedy, Sci-Fi, Romance",Manga,OVA,3,6.67,6,35,3837
"Comedy, Romance, Ecchi",Light novel,OVA,1,6.88,13,259,2220
Hentai,Visual novel,OVA,4,7.28,80,2048,3908
"Hentai, Supernatural",Original,OVA,2,6.62,20,2176,5683
"Comedy, Romance",Visual novel,TV,13,6.63,7,3,4182
"Fantasy, Action",Game,Special,1,5.64,1,12,10241
"Comedy, Romance, Shounen",4-koma manga,TV,12,6.78,138,19,1451
Romance,Visual novel,Special,1,8.1,721,2,389
"Comedy, Fantasy",Visual novel,OVA,3,6.1,1,5,7976
"Sci-Fi, Historical, Romance, Fantasy, Shounen, Action",Manga,TV,13,6.67,9,1086,4522
"Comedy, Romance, Music",Original,TV,13,6.58,9,8195,3117
"Comedy, Historical, Romance, Fantasy, Action",Card game,Movie,1,6.56,7,1039,5601
"Mistery, Sci-Fi, Action, Otro",Manga,Movie,1,7.59,70,36904,2098
"Comedy, Romance, Music",Original,Special,7,6.74,11,8195,2879
"Comedy, Romance, Fantasy, Shoujo, Ecchi",Visual novel,TV,13,6.97,117,775,2219
"Comedy, Sports",Original,TV,12,5.7,8,4097,3733
Hentai,Visual novel,OVA,2,6.85,17,2048,5548
"Comedy, Romance",Digital manga,TV,12,4.78,4,3,2830
"Comedy, Sci-Fi, Romance",Original,OVA,4,5.93,0,35,10052
"Sci-Fi, Fantasy, Otro",Original,Special,1,6.65,12,4132,2766
"Sports, Romance, Shounen, Action",Manga,OVA,1,7.73,18,4122,3108
"Comedy, Sci-Fi, Shounen",Manga,Movie,1,6.56,0,49,8514
"Romance, Gore, Action, Supernatural, Otro",Manga,TV,12,6.71,547,20618,491
"Shounen, Action, Otro",Original,TV,24,6.98,8,4120,5324
"Comedy, Sci-Fi",4-koma manga,TV,13,6.23,1,33,5047
"Romance, Music",Novel,Special,1,7.47,13,8194,2279
"Comedy, Romance",Original,Special,1,7.31,10,3,3405
"Romance, Shounen, Ecchi",Manga,TV,12,7.6,2874,274,281
"Sci-Fi, Romance, Music, Action",Original,Movie,1,8.05,428,8234,2331
"Historical, Romance, Shounen",Manga,Movie,1,8.38,293,1042,1540
"Romance, Fantasy",Novel,Movie,1,7.11,7,6,5096
"Shounen, Action",Game,OVA,2,5.36,1,24,6139
"Comedy, Romance, Fantasy, Shounen, Ecchi",Visual novel,TV,12,6.62,51,279,1792
"Sports, Romance",Original,TV,23,6.69,4,4098,8625
Hentai,Original,OVA,1,6.18,11,2048,5916
"Sports, Romance, Shounen",Manga,Movie,1,7.47,10,4114,4299
"Romance, Hentai",Visual novel,OVA,2,6.21,9,2050,5720
Hentai,Visual novel,OVA,2,6.56,9,2048,5714
"Sci-Fi, Fantasy, Supernatural",Original,Special,1,6.27,3,164,5493
"Comedy, Sci-Fi, Shounen, Action",Original,TV,13,6.73,26,57,4036
Sports,Original,Special,5,5.52,0,4096,7104
"Comedy, Sci-Fi, Sports, Shounen",Original,TV,13,6.1,5,4145,6905
"Sports, Fantasy",Manga,TV,52,6.88,40,4100,3603
Hentai,Manga,OVA,1,7.07,20,2048,5712
Comedy,Original,ONA,10,6.26,2,1,4628
"Comedy, Romance, Shounen, Ecchi",Manga,Special,2,7.04,2,275,3966
"Romance, Fantasy, Shoujo, Music",Original,Movie,1,7.41,4,8710,6014
"Comedy, Romance, Music",Music,TV,12,6.83,76,8195,3634
Comedy,Visual novel,Special,13,5.75,5,1,5712
"Comedy, Sports, Romance, Shounen",Manga,Movie,1,7.99,25,4115,2715
Romance,Other,Special,1,6.56,2,2,5542
"Comedy, Romance",4-koma manga,Movie,1,7.51,27,3,3456
"Comedy, Romance, Fantasy",Web manga,TV,12,6.72,7,7,4887
"Comedy, Fantasy, Action",Game,TV,100,6.74,133,13,3153
"Comedy, Romance, Fantasy, Shounen, Action",Original,TV,26,7.72,572,31,1766
"Fantasy, Gore, Shounen, Action, Supernatural",Manga,Movie,1,7.8,251,16540,3040
"Comedy, Historical, Action, Supernatural, Otro",Light novel,TV,13,8.49,17790,5257,87
"Comedy, Sci-Fi",Game,TV,13,7.32,11,33,4638
"Comedy, Fantasy, Ecchi",Light novel,OVA,1,6.91,11,261,2238
"Shounen, Action, Supernatural",Manga,TV,13,7.1,74,152,1443
"Comedy, Romance",Game,Special,1,6.54,5,3,4292
"Romance, Shoujo",Manga,Special,1,5.45,0,514,7462
"Comedy, Otro",Original,TV,12,4.25,0,4097,13706
"Comedy, Romance, Shounen",4-koma manga,TV,12,7.61,1784,19,459
"Sci-Fi, Action",Original,TV,26,7.19,43,40,2719
Comedy,Manga,Special,1,7.55,7,1,4034
"Comedy, Sci-Fi, Action",Original,OVA,1,6.29,2,41,8488
"Comedy, Fantasy, Shounen, Action",Manga,TV,26,5.91,26,29,3003
"Romance, Shounen, Ecchi",Manga,TV,24,8.55,15394,274,54
"Comedy, Fantasy",Light novel,Special,1,6.69,1,5,4772
"Fantasy, Supernatural",Original,Movie,1,8.5,1755,132,482
Romance,Original,Movie,1,8.18,1109,2,659
"Fantasy, Shounen",Original,TV,51,7.4,396,20,1421
"Fantasy, Shounen, Supernatural",Manga,TV,25,7.72,680,148,998
"Comedy, Sci-Fi, Shounen, Action, Supernatural",Web manga,OVA,1,7.83,252,185,578
"Sci-Fi, Fantasy, Action",Original,TV,13,7.6,999,44,337
"Comedy, Romance, Fantasy",Manga,Special,7,7.35,69,7,1865
Hentai,Visual novel,OVA,2,6.85,4,2048,6631
"Comedy, Hentai",Manga,Special,2,7.04,11,2049,4861
"Comedy, Romance, Supernatural",Manga,TV,24,6.32,8,131,3910
"Historical, Romance, Fantasy, Shounen, Supernatural",Manga,Movie,1,7.75,238,1174,1278
Hentai,Visual novel,OVA,2,6.44,13,2048,5433
Music,Web manga,TV,11,4.87,6,8192,3800
"Comedy, Shounen, Action",Manga,TV,27,7.1,125,25,2288
Supernatural,Game,TV,25,6.2,0,128,9679
Hentai,Visual novel,ONA,2,6.84,18,2048,6773
"Fantasy, Shounen, Action, Supernatural",Original,Movie,1,7.25,8,156,4518
"Comedy, Romance, Music",4-koma manga,Special,1,7.87,162,8195,985
Comedy,Manga,ONA,2,5.67,10,1,4022
"Historical, Romance",Novel,TV,51,6.96,13,1026,5921
"Historical, Romance, Action, Supernatural",Manga,TV,24,7.76,1911,1162,485
"Comedy, Romance, Shoujo, Ecchi",Game,ONA,24,6.34,54,771,2052
"Comedy, Fantasy, Shounen, Action",Manga,OVA,1,7.31,12,29,3371
Fantasy,Original,Movie,1,4.88,0,4,14074
"Comedy, Fantasy, Ecchi",Web manga,ONA,0,6.54,2,261,8909
Music,Original,Music,1,4.04,0,8192,13855
"Sci-Fi, Romance, Action",Original,OVA,0,8.1,23,42,3954
"Sci-Fi, Action, Thriller, Otro",Manga,Movie,1,7.15,137,69672,1559
"Fantasy, Shounen, Action",Game,Movie,1,6.69,4,28,8358
"Comedy, Romance",Web manga,ONA,26,7.23,143,3,1683
"Comedy, Sci-Fi, Fantasy",Original,TV,24,6.9,242,37,1458
"Comedy, Fantasy, Action",Visual novel,OVA,3,7.28,15,13,3001
"Sci-Fi, Fantasy, Action, Supernatural",Game,TV,22,6.72,14,172,4717
Romance,Original,TV,12,6.36,281,2,865
"Sports, Romance",Original,Movie,1,7.7,48,4098,2793
"Historical, Romance, Fantasy",Novel,Movie,1,6.95,9,1030,5049
"Comedy, Romance, Ecchi",Manga,TV,12,6.65,59,259,2283
"Sci-Fi, Supernatural, Otro",Original,TV,22,7.54,607,4256,910
"Historical, Romance, Fantasy, Action, Supernatural",Manga,TV,24,7.66,1317,1166,669
"Fantasy, Music, Action, Otro",Game,ONA,5,5.89,1,12300,7884
"Comedy, Historical",4-koma manga,TV,26,7.09,21,1025,3112
Fantasy,Game,Special,1,6.7,6,4,4188
"Comedy, Romance, Music",Original,TV,13,6.48,48,8195,1911
"Hentai, Supernatural",Visual novel,OVA,3,7.09,97,2176,3846
"Comedy, Music, Shounen",Manga,TV,12,7.18,64,8209,3788
"Romance, Hentai",Visual novel,OVA,2,6.45,10,2050,6095
"Comedy, Romance, Shounen, Action, Supernatural, Ecchi",Manga,OVA,3,6.87,10,411,2549
"Comedy, Music, Otro",Picture book,Music,1,5.11,0,12289,12894
Fantasy,Original,Movie,1,5.26,1,4,6895
"Sci-Fi, Fantasy, Action",Game,TV,13,6.66,8,44,5788
"Comedy, Sci-Fi, Historical, Shounen, Action",Manga,TV,13,8.59,450,1081,1464
"Comedy, Sci-Fi, Romance, Fantasy, Action",Original,TV,13,6.02,7,47,3868
"Comedy, Otro",Original,Movie,2,6.87,13,4097,4503
"Historical, Romance, Fantasy, Supernatural, Otro",Novel,Movie,1,6.42,0,5254,10176
"Comedy, Sci-Fi, Romance, Fantasy, Action",Manga,Movie,1,7.23,7,47,4890
"Romance, Shoujo",Manga,Special,1,7.47,156,514,1281
Comedy,Light novel,Special,1,6.38,8,1,4693
"Comedy, Romance, Ecchi",Visual novel,Special,1,6.51,33,259,2078
"Sci-Fi, Action",Original,TV,12,7.57,3415,40,181
"Comedy, Fantasy, Shounen, Action",Manga,TV,51,6.61,1436,29,319
"Sci-Fi, Romance, Fantasy, Action",Original,TV,12,6.91,54,46,2558
"Comedy, Romance, Shounen",Manga,TV,48,7.86,114,19,4061
"Historical, Romance",Original,Movie,1,7.8,42,1026,3013
"Sci-Fi, Romance, Shounen, Action",Original,TV,25,8.95,44230,58,22
"Historical, Fantasy, Shounen, Action",Novel,Movie,1,6.38,0,1052,9555
"Comedy, Sci-Fi, Fantasy, Shounen, Action",Manga,Movie,1,7.29,25,61,1994
"Romance, Shounen, Ecchi",Manga,TV,12,8.5,1817,274,282
"Comedy, Shounen",Manga,Movie,1,7.04,1,17,7891
"Comedy, Sports, Romance, Shounen",Manga,OVA,1,7.46,15,4115,3305
"Romance, Fantasy, Ecchi",Light novel,TV,12,7.71,997,262,301
"Sci-Fi, Fantasy",Manga,Movie,1,5.3,0,36,12153
"Romance, Shoujo, Action, Thriller",Manga,OVA,2,5.33,1,66058,9377
"Historical, Supernatural",Original,TV,13,5.23,5,1152,6845
"Romance, Hentai",Manga,OVA,2,7.22,205,2050,3397
"Historical, Romance, Action, Supernatural, Otro",Visual novel,Movie,1,7.96,54,5258,3298
"Sci-Fi, Fantasy, Shounen",Visual novel,Movie,1,6.51,3,52,5107
"Romance, Music",Novel,Movie,1,7.58,11,8194,3576
"Romance, Fantasy, Shounen, Action",Manga,TV,21,8.12,561,30,3186
Shoujo,Manga,Special,1,7.2,33,512,3428
"Comedy, Sci-Fi, Fantasy, Shounen",Manga,TV,13,7.32,184,53,2244
"Comedy, Fantasy, Action, Otro",Game,TV,20,6.49,22,4109,2864
Comedy,Manga,TV,25,7.7,179,1,2179
Hentai,Visual novel,OVA,1,6.32,3,2048,5728
"Comedy, Sci-Fi, Fantasy, Shounen, Action",Manga,TV,64,6.67,1212,61,204
"Comedy, Music",Other,OVA,1,4.23,0,8193,13460
"Romance, Supernatural",Visual novel,TV,26,6.66,45,130,3026
"Romance, Fantasy, Shoujo, Ecchi",Game,Movie,1,6.61,11,774,4223
"Comedy, Romance, Shoujo",Manga,TV,12,7.83,4675,515,170
"Sci-Fi, Shounen, Action",Manga,TV,12,7.88,302,56,1058
"Comedy, Sci-Fi, Action",Original,TV,13,5.28,0,41,7936
"Romance, Otro",Visual novel,TV,12,8.05,2699,4098,436
"Comedy, Fantasy, Supernatural",Light novel,TV,26,8.12,710,133,1596
"Comedy, Romance, Ecchi",Light novel,TV,11,7.9,863,259,678
"Sci-Fi, Romance, Otro",Original,OVA,1,6.44,2,4130,4654
"Comedy, Romance",Manga,Special,1,7.24,5,3,2755
"Sci-Fi, Romance, Supernatural",Original,ONA,8,4.95,2,162,8195
"Comedy, Fantasy, Action, Otro",Game,Movie,1,6.58,32,4109,2898
"Historical, Fantasy, Shounen",Manga,OVA,2,7.04,11,1044,3244
Hentai,Visual novel,OVA,2,6.37,17,2048,5247
"Sci-Fi, Otro",Light novel,TV,12,7.05,368,4128,647
"Comedy, Otro",Novel,ONA,13,6.24,9,4097,3644
"Mistery, Sci-Fi, Romance, Fantasy, Shounen",Manga,Movie,1,7.6,364,32822,1417
"Romance, Fantasy",Original,Movie,1,7.72,419,6,773
Otro,Original,ONA,1,5.71,0,4096,13902
"Comedy, Romance, Shoujo",Manga,TV,12,7.67,3499,515,380
Comedy,4-koma manga,Special,11,7.19,31,1,2918
"Sci-Fi, Sports, Action",Original,Movie,1,8.33,2411,4136,511
"Romance, Gore, Supernatural",Manga,OVA,4,6.37,33,16514,3401
"Sci-Fi, Fantasy, Action",Original,TV,26,7.15,18,44,5996
"Sci-Fi, Action",Original,Movie,1,8.16,1102,40,280
"Romance, Fantasy, Gore, Shounen, Action, Supernatural",Manga,Movie,1,8.3,717,16542,879
Romance,Manga,OVA,2,5.59,1,2,7557
"Comedy, Romance, Otro",Manga,TV,34,6.73,0,4099,11901
"Historical, Romance",Manga,Movie,1,7.18,59,1026,2595
"Fantasy, Action, Supernatural, Thriller",Light novel,TV,12,7.13,442,65676,962
Romance,Picture book,TV,10,7.5,171,2,2283
"Comedy, Romance, Shounen",Manga,TV,10,6.92,20,19,3119
"Romance, Shounen, Action",Manga,TV,13,7.2,23,26,4000
"Comedy, Fantasy, Supernatural, Ecchi",Original,Special,3,7.0,4,389,4723
"Music, Gore",Music,Music,1,5.03,0,24576,12688
"Romance, Shounen",Manga,Special,6,6.87,6,18,5011
"Comedy, Romance",Manga,Special,1,7.12,6,3,4063
"Comedy, Romance",Original,Special,1,8.12,209,3,1509
Comedy,Game,Special,9,6.85,5,1,3815
"Comedy, Romance, Otro",Original,TV,0,3.58,0,4099,11750
"Comedy, Shounen",Manga,Movie,1,7.08,0,17,9216
"Sci-Fi, Romance, Fantasy",Original,Movie,1,6.22,25,38,3622
"Sci-Fi, Shounen",Original,TV,56,6.56,0,48,8878
"Comedy, Sci-Fi, Romance, Action, Ecchi",Novel,OVA,6,7.3,20,299,3952
"Romance, Fantasy, Action",Manga,TV,12,5.78,4,14,5328
"Comedy, Supernatural",Original,TV,8,4.71,1,129,9565
"Comedy, Fantasy, Shounen",Manga,OVA,6,6.76,3,21,6983
"Historical, Romance",Novel,Special,1,5.79,0,1026,9471
"Gore, Shounen, Action, Supernatural, Otro",Manga,Movie,1,7.69,44,20632,2149
Fantasy,Novel,OVA,1,5.21,0,4,9245
"Comedy, Music, Otro",Manga,Special,8,6.29,2,12289,7040
"Shounen, Action, Supernatural",Original,TV,13,7.68,5363,152,121
"Romance, Shounen",Manga,OVA,1,4.89,0,18,8144
"Historical, Romance",Novel,TV,26,7.25,2,1026,8145
"Fantasy, Shounen, Action",Visual novel,ONA,1,5.87,0,28,7782
"Romance, Shounen, Action",Manga,TV,12,7.11,54,26,3823
"Comedy, Romance, Ecchi",Light novel,TV,12,7.59,1002,259,225
"Sci-Fi, Action",Novel,ONA,6,5.09,8,40,4571
"Comedy, Shounen, Action",Manga,TV,12,7.19,49,25,3180
Sci-Fi,Manga,TV,12,6.22,9,32,3946
"Fantasy, Action",Light novel,TV,12,6.17,238,12,592
"Comedy, Romance",Manga,Special,1,6.39,0,3,7516
"Romance, Shoujo, Action, Supernatural, Ecchi",Visual novel,TV,12,6.41,275,906,635
"Comedy, Sci-Fi, Romance, Action",Original,TV,47,6.76,73,43,2544
"Romance, Shoujo",Light novel,TV,13,7.79,63,514,2848
"Comedy, Sci-Fi, Fantasy, Shounen, Action",Manga,Special,1,7.66,48,61,2415
"Mistery, Comedy, Shounen, Action",Manga,Special,1,6.64,1,32793,5952
"Comedy, Fantasy, Otro",Game,Movie,1,6.75,14,4101,2230
"Comedy, Romance, Shounen",Manga,Special,1,6.85,19,19,1810
"Fantasy, Hentai",Visual novel,OVA,1,6.71,41,2052,4956
"Romance, Fantasy, Gore, Action",Original,TV,12,7.31,1922,16398,131
"Comedy, Sci-Fi, Romance, Shounen, Supernatural",Music,TV,12,7.19,2974,179,256
"Romance, Fantasy, Action, Supernatural",Game,OVA,4,6.78,47,142,3484
Music,Game,Special,1,7.31,6,8192,5577
"Comedy, Romance, Fantasy, Shoujo, Supernatural, Otro",Manga,Special,6,6.73,36,4743,3260
"Sci-Fi, Shounen, Action, Otro",Light novel,TV,13,7.38,2943,4152,92
"Romance, Shoujo, Ecchi",Novel,OVA,2,6.96,18,770,3115
"Romance, Otro",Novel,OVA,1,7.4,96,4098,969
"Comedy, Otro",Original,TV,16,6.33,0,4097,12866
"Sci-Fi, Action",Original,Special,3,7.43,14,40,4032
"Comedy, Sci-Fi, Romance, Ecchi",Manga,Special,2,7.15,2,291,4357
"Comedy, Historical, Romance, Fantasy, Shounen, Supernatural",Manga,Movie,1,7.68,129,1175,1357
"Historical, Romance",Game,TV,12,6.23,26,1026,4903
Comedy,Other,ONA,5,4.64,0,1,14041
"Comedy, Fantasy, Shounen, Action",Original,TV,51,4.87,0,29,8201
"Romance, Shounen, Supernatural",Manga,TV,12,7.22,82,146,1764
"Romance, Shoujo, Music, Ecchi",Visual novel,Special,2,7.23,114,8962,2259
"Romance, Fantasy, Otro",Visual novel,Special,1,6.05,2,4102,5756
Otro,Visual novel,ONA,1,6.22,9,4096,5726
"Comedy, Fantasy, Shounen, Action",4-koma manga,Movie,1,7.05,3,29,6105
"Comedy, Sci-Fi, Romance, Fantasy, Shounen, Action",Original,OVA,2,6.4,3,63,5911
"Mistery, Romance, Gore, Shounen, Thriller, Otro",Manga,TV,74,8.69,17399,118802,152
"Fantasy, Music",Original,Movie,1,7.48,29,8196,3325
"Comedy, Sports, Fantasy, Shounen, Action",Original,Special,1,6.95,114,4125,1467
"Comedy, Fantasy, Otro",Game,TV,12,6.13,2,4101,7694
"Sci-Fi, Romance",Original,Special,1,6.47,2,34,5604
"Sci-Fi, Romance, Music, Action",Original,TV,25,7.98,1743,8234,791
"Romance, Shoujo, Music",Game,Movie,1,6.55,1,8706,9006
"Comedy, Romance, Fantasy, Otro",Other,TV,52,7.39,37,4103,5365
"Historical, Fantasy, Supernatural",Manga,ONA,15,6.45,2,1156,8489
Hentai,Visual novel,OVA,2,7.1,37,2048,4800
"Comedy, Romance, Fantasy, Supernatural, Ecchi",Manga,TV,13,7.17,1200,391,269
Shounen,Manga,OVA,1,6.78,2,16,8577
"Romance, Fantasy",Light novel,TV,13,7.24,174,6,1208
"Comedy, Romance, Fantasy, Ecchi",Light novel,TV,12,6.8,1101,263,550
"Comedy, Sci-Fi",Original,Special,2,5.58,0,33,7888
Ecchi,Visual novel,Special,1,7.47,54,256,2152
"Comedy, Romance, Action",Web manga,TV,13,7.43,796,11,667
"Romance, Shoujo, Action",Manga,TV,12,6.38,77,522,1417
"Comedy, Romance, Shounen",4-koma manga,TV,12,7.2,49,19,3106
"Historical, Fantasy, Action, Supernatural",Manga,TV,13,6.9,119,1164,1727
"Gore, Hentai",Visual novel,OVA,3,5.81,5,18432,7204
Gore,Original,Movie,1,5.67,0,16384,12669
"Sci-Fi, Shounen, Action",Other,Movie,1,6.48,5,56,6181
"Comedy, Sci-Fi, Sports, Fantasy, Shounen, Action",Original,Movie,1,6.77,1,4157,5748
Comedy,Original,Special,1,5.65,0,1,10139
"Gore, Supernatural, Otro",Original,TV,6,6.6,137,20608,2107
"Comedy, Romance, Otro",Manga,TV,331,6.63,4,4099,7295
"Historical, Action",Original,Special,1,4.9,0,1032,11974
"Comedy, Fantasy, Ecchi",Visual novel,OVA,1,5.2,2,261,6825
"Sports, Romance, Shounen, Otro",Manga,TV,11,8.65,7036,8210,563
Comedy,Original,ONA,1,3.19,0,1,13438
"Comedy, Sci-Fi, Fantasy, Action, Otro",Original,TV,52,6.78,56,4141,4251
"Comedy, Romance, Fantasy",Original,Movie,1,7.89,278,7,859
"Sci-Fi, Action",Game,TV,12,6.18,42,40,1422
"Comedy, Romance, Supernatural",Original,Special,4,6.57,1,131,3971
Comedy,Game,Special,3,7.15,3,1,5076
Music,Music,TV,13,7.04,151,8192,2987
"Comedy, Romance",4-koma manga,Special,1,7.11,10,3,2319
Comedy,Original,TV,4,3.58,2,1,10529
Hentai,Manga,OVA,1,5.76,82,2048,3329
"Fantasy, Action, Supernatural",Game,Special,1,6.97,144,140,1190
"Fantasy, Otro",Game,Movie,1,6.32,0,4100,6536
"Comedy, Romance",Light novel,ONA,3,6.56,135,3,936
"Sports, Shounen",Manga,TV,72,7.35,6,4112,7743
"Fantasy, Shounen, Action, Supernatural, Otro",Original,TV,65,7.2,241,4252,2077
"Comedy, Romance",Manga,TV,12,6.5,40,3,2047
"Comedy, Romance, Fantasy, Supernatural, Ecchi",Light novel,Movie,1,7.14,10,391,3171
"Comedy, Romance",Manga,OVA,2,7.98,32,3,1859
"Fantasy, Shounen, Action, Supernatural",Manga,Special,1,7.41,80,156,1050
Sci-Fi,Original,TV,0,5.9,7,32,3173
"Romance, Music, Otro",Manga,TV,12,8.44,4600,12290,390
"Romance, Fantasy, Shounen",Manga,TV,12,6.61,100,22,2015
"Sci-Fi, Fantasy, Action",Original,TV,28,5.97,1,44,7811
"Comedy, Fantasy, Action, Otro",Game,Special,4,7.89,451,4109,728
"Sci-Fi, Action",Original,OVA,1,6.55,2,40,7150
Fantasy,Original,ONA,26,6.45,1,4,11936
"Comedy, Fantasy, Shounen, Action",Manga,TV,23,7.73,552,29,1595
Hentai,Visual novel,OVA,2,7.13,66,2048,3688
"Comedy, Romance",Manga,TV,12,6.39,22,3,2405
"Romance, Fantasy, Gore, Supernatural, Otro",Light novel,OVA,1,5.33,5,20614,5497
"Sci-Fi, Shounen, Action, Otro",Manga,OVA,1,6.52,6,4152,5343
"Comedy, Romance",Original,Movie,1,6.55,2,3,7302
"Sports, Shounen, Action",Manga,TV,24,7.42,250,4120,2053
Fantasy,Original,Special,1,6.34,3,4,4768
"Shounen, Action, Supernatural, Thriller",Manga,TV,12,7.72,1964,65688,470
Action,Manga,ONA,1,6.3,1,8,7348
"Romance, Fantasy, Gore, Action, Supernatural",Manga,TV,12,7.09,251,16526,1159
"Comedy, Sports, Romance, Ecchi",Light novel,TV,12,6.98,184,4355,1385
Hentai,Visual novel,OVA,2,6.89,25,2048,5878
"Comedy, Shounen, Otro",Original,Special,1,5.87,0,4113,11724
"Romance, Fantasy",Light novel,OVA,6,5.92,1,6,9254
"Sci-Fi, Romance, Fantasy, Action",Original,OVA,12,8.1,693,46,1668
"Sci-Fi, Fantasy, Action",Original,Movie,1,7.25,33,44,3116
"Sci-Fi, Action",Manga,OVA,1,7.29,6,40,6148
"Historical, Romance, Shounen, Otro",Novel,Movie,1,7.58,28,5138,4758
Romance,Original,TV,12,6.68,75,2,2553
"Sci-Fi, Romance, Action",Original,TV,12,6.4,92,42,1406
Romance,Original,ONA,12,7.26,4,2,6297
"Comedy, Romance, Shounen",Light novel,Special,6,7.36,28,19,2378
"Comedy, Sci-Fi, Romance, Shounen",Manga,Special,3,6.66,1,51,6761
"Romance, Fantasy, Shounen, Supernatural",Manga,OVA,2,7.15,37,150,2018
"Comedy, Romance, Shounen, Ecchi",Manga,OVA,4,7.29,38,275,2391
Hentai,Manga,OVA,1,6.18,7,2048,6536
"Sci-Fi, Fantasy, Hentai",Original,OVA,3,6.52,26,2084,4986
"Sci-Fi, Sports",Manga,TV,32,6.6,5,4128,9901
"Comedy, Romance, Fantasy",Original,TV,13,6.52,46,7,3175
"Comedy, Romance, Shounen, Ecchi",Manga,OVA,2,5.14,21,275,4906
"Comedy, Romance, Shoujo",Manga,OVA,1,6.48,10,515,4948
"Gore, Supernatural, Otro",Original,Special,2,6.18,0,20608,8474
"Comedy, Shounen, Action",Manga,Special,1,7.33,29,25,2552
